Destino,Periodo,Visitantes,Nacional ,Internacional ,Porcentaje Ocupacion promedio ,Oferta hotelera cuartos ,Latitud,Longitud
Ixtapa,2014_10,36,965,34,912,2,053,49.62,4,949,25.275,-100.875
Ixtapa,2014_9,31,921,30,616,1,305,52.16,4,975,25.275,-100.875
Ixtapa,2014_8,55,568,53,381,2,187,46.34,5,051,25.275,-100.875
Ixtapa,2014_7,62,161,58,727,3,434,37.11,5,147,25.275,-100.875
Ixtapa,2014_6,39,568,37,334,2,234,53.91,5,026,25.275,-100.875
Ixtapa,2014_5,56,261,53,758,2,503,49.62,5,031,25.275,-100.875
Ixtapa,2014_4,54,074,49,558,4,516,26.58,5,103,25.275,-100.875
Ixtapa,2014_3,46,151,36,155,9,996,29.45,5,099,25.275,-100.875
Ixtapa,2014_2,50,684,20,111,30,573,44.67,5,173,25.275,-100.875
Ixtapa,2014_1,49,017,30,222,18,795,58.23,5,104,25.275,-100.875
Ixtapa,2013_12,52,508,44,357,8,151,53.39,5,151,25.275,-100.875
Ixtapa,2013_11,35,311,30,629,4,682,35.41,5,021,25.275,-100.875
Ixtapa,2013_10,21,305,19,527,1,778,18.22,4,985,25.275,-100.875
Ixtapa,2013_9,23,310,22,472,838,21.48,4,964,25.275,-100.875
Ixtapa,2013_8,51,362,48,719,2,643,47.21,5,058,25.275,-100.875
Ixtapa,2013_7,72,775,68,149,4,626,65.45,5,178,25.275,-100.875
Ixtapa,2013_6,55,794,52,900,2,894,46.89,5,036,25.275,-100.875
Ixtapa,2013_5,53,207,50,233,2,974,42.78,4,988,25.275,-100.875
Ixtapa,2013_4,50,597,45,982,4,615,48.73,5,051,25.275,-100.875
Ixtapa,2013_3,49,089,36,530,12,559,54.47,5,120,25.275,-100.875
Ixtapa,2013_2,32,632,20,179,12,453,53.11,5,106,25.275,-100.875
Ixtapa,2013_1,40,581,28,185,12,396,54.22,5,150,25.275,-100.875
Ixtapa,2012_12,50,232,43,666,6,566,58.47,5,164,25.275,-100.875
Ixtapa,2012_11,49,460,45,966,3,494,44.58,5,048,25.275,-100.875
Ixtapa,2012_10,30,503,28,726,1,777,29.2,5,021,25.275,-100.875
Ixtapa,2012_9,28,395,26,575,1,820,25.4,4,983,25.275,-100.875
Ixtapa,2012_8,52,343,49,447,2,896,50.84,5,077,25.275,-100.875
Ixtapa,2012_7,74,830,67,824,7,006,63.46,5,181,25.275,-100.875
Ixtapa,2012_6,44,812,42,446,2,366,44.65,5,018,25.275,-100.875
Ixtapa,2012_5,49,775,46,950,2,825,44.16,4,992,25.275,-100.875
Ixtapa,2012_4,63,505,58,630,4,875,62.62,5,181,25.275,-100.875
Ixtapa,2012_3,53,752,44,503,9,249,57.83,5,114,25.275,-100.875
Ixtapa,2012_2,34,770,25,137,9,633,55.32,5,092,25.275,-100.875
Ixtapa,2012_1,41,039,34,070,6,969,56.57,5,105,25.275,-100.875
Los Cabos,2016_07,147,963,44,077,103,886,74.12,12,622,24.5472,-111.5006
Los Cabos,2016_06,128,347,31,910,96,437,69.96,12,611,24.5472,-111.5006
Los Cabos,2016_05,120,078,30,898,89,180,64.05,12,570,24.5472,-111.5006
Los Cabos,2016_04,116,178,21,741,94,437,71.23,12,575,24.5472,-111.5006
Los Cabos,2016_03,138,076,27,388,110,688,79.31,12,565,24.5472,-111.5006
Los Cabos,2016_02,113,484,18,072,95,412,77.14,12,552,24.5472,-111.5006
Los Cabos,2016_01,117,570,17,882,99,688,68.92,12,562,24.5472,-111.5006
Los Cabos,2015_12,112,291,24,754,87,537,64.08,12,465,24.5472,-111.5006
Los Cabos,2015_11,106,541,22,982,83,559,68.96,12,183,24.5472,-111.5006
Los Cabos,2015_10,98,477,24,970,73,507,61.65,12,165,24.5472,-111.5006
Los Cabos,2015_9,68,281,21,429,46,852,42.75,12,141,24.5472,-111.5006
Los Cabos,2015_8,107,498,34,652,72,846,63.24,11,504,24.5472,-111.5006
Los Cabos,2015_7,127,481,46,349,81,132,74.88,11,512,24.5472,-111.5006
